Age_group1,Age_group2,count_us,percent_us,count_pr,percent_pr
1,Under 5 years,473625,9.15,192450,5.6053028
2,5 to 9 years,453477,8.76,210316,6.125668297
3,10 to 14 years,448050,8.66,235133,6.848488767
4,15 to 19 years,448446,8.67,252014,7.340165133
5,20 to 24 years,439878,8.5,250619,7.299534333
6,25 to 34 years,786863,15.21,435120,12.67331439
7,35 to 44 years,699096,13.51,433339,12.62144095
8,45 to 54 years,609599,11.78,442796,12.89688573
9,55 to 59 years,237028,4.58,205702,5.991280834
10,60 to 64 years,187878,3.63,206217,6.006280735
11,65 to 74 years,239479,4.63,327089,9.526801182
12,75 to 84 years,114693,2.22,174926,5.094898403
13,85 years and over,36442,0.7,67635,1.969938451
